idPessoaQueSegue,idPessoaQueESeguida,dataInicioQueSegue,dataFimQueSegue,grauAmizade
259,487,28/02/2021,,0
175,194,21/01/2024,,
385,374,17/12/2021,,1
184,333,26/03/2021,,2
308,282,05/09/2020,24/11/2024,1
197,56,07/08/2024,16/05/2025,
96,241,13/03/2023,,
304,219,14/01/2021,,0
16,318,09/01/2022,,1
111,290,25/01/2022,31/08/2024,0
1,140,21/06/2025,20/07/2025,2
16,481,29/11/2021,,2
92,250,30/06/2022,,2
349,168,15/01/2020,04/10/2023,1
487,170,25/01/2023,,
474,337,22/12/2022,08/11/2023,2
66,234,07/04/2021,,0
381,249,01/12/2022,26/01/2024,1
7,217,24/05/2025,,0
117,277,26/09/2024,,0
44,500,29/08/2023,,2
196,253,24/07/2021,08/03/2023,1
100,227,18/11/2022,,2
12,111,18/06/2023,18/06/2025,1
384,59,10/04/2023,20/01/2024,0
408,222,19/03/2020,,1
498,5,20/08/2025,06/10/2025,2
23,269,23/12/2024,21/06/2025,0
303,147,13/08/2025,,2
43,368,13/05/2021,,0
146,428,18/04/2024,,1
287,265,06/03/2024,,2
284,33,29/09/2021,22/08/2023,
351,162,24/05/2023,11/07/2024,1
355,322,28/04/2025,,2
441,165,09/02/2021,,1
12,433,15/01/2022,,0
430,335,23/04/2024,15/12/2024,0
64,232,17/07/2021,,2
176,370,13/04/2023,,1
385,448,13/01/2024,17/07/2025,
225,139,25/05/2022,,2
237,374,08/02/2022,,1
384,464,29/09/2021,08/01/2024,1
103,363,19/12/2024,,1
142,313,30/08/2020,,
445,199,29/11/2023,15/04/2024,0
208,380,24/08/2023,,0
136,376,11/08/2021,,1
112,28,29/04/2024,,
415,354,01/07/2024,02/07/2024,2
150,491,08/11/2023,,
364,138,29/02/2020,06/06/2025,2
133,323,22/09/2024,,
72,223,28/08/2025,,1
175,112,02/01/2025,13/10/2025,1
463,296,01/08/2020,01/09/2020,
489,444,30/03/2021,,1
328,374,07/07/2024,27/01/2025,
261,301,20/05/2024,,0
80,222,22/02/2020,,
281,347,28/06/2025,01/09/2025,2
21,292,05/07/2020,07/07/2024,
335,247,02/05/2020,16/09/2022,1
323,327,05/07/2021,,2
419,219,23/11/2024,20/03/2025,
430,398,12/09/2024,,2
252,433,24/02/2020,,1
449,342,23/10/2021,,0
89,270,09/06/2023,07/01/2024,1
355,295,31/01/2020,20/05/2023,1
140,236,16/04/2021,17/01/2022,
265,28,10/02/2020,,
475,261,21/06/2021,,2
47,33,20/01/2021,,2
331,39,08/03/2023,04/03/2025,1
365,192,30/11/2021,,
329,473,31/08/2023,,2
478,446,01/05/2023,,0
439,263,28/08/2022,18/06/2023,2
123,155,05/02/2025,,1
408,276,09/02/2025,,2
319,336,10/05/2023,,1
99,301,24/03/2021,,1
125,112,15/04/2021,,1
498,369,20/06/2022,,2
266,430,11/02/2022,,0
318,169,26/10/2020,,2
173,164,21/03/2024,,2
252,267,28/06/2023,,1
250,358,30/01/2021,,1
265,360,21/04/2022,,2
355,161,19/04/2025,06/09/2025,2
44,460,04/04/2023,,
238,392,24/05/2025,,1
474,284,08/10/2024,,0
58,245,06/01/2022,,1
256,292,11/12/2023,,2
14,20,06/08/2024,,
4,187,16/04/2024,,1
82,355,27/09/2025,09/10/2025,
295,355,05/08/2025,,0
480,365,04/06/2022,,2
215,329,09/08/2023,,1
353,86,04/08/2022,03/12/2022,
404,491,17/10/2024,,
496,92,06/02/2022,,0
68,133,07/05/2022,,2
71,495,14/04/2021,16/05/2025,
165,350,15/07/2023,,0
244,131,22/06/2025,08/09/2025,
72,84,01/12/2021,06/06/2024,2
138,411,04/12/2020,10/01/2024,1
194,112,30/08/2023,,1
323,99,10/12/2021,,2
307,245,13/05/2024,,1
400,455,06/11/2022,,
371,41,02/08/2022,,1
433,248,13/07/2024,14/06/2025,0
260,135,17/08/2020,,
367,230,31/10/2021,,
480,248,24/12/2021,,0
391,135,19/10/2024,,1
115,338,14/10/2024,,
93,365,07/01/2023,27/01/2025,
500,386,06/10/2025,,2
436,141,28/10/2022,,0
118,248,18/07/2022,,2
250,68,25/09/2024,20/12/2024,2
149,193,04/01/2023,,1
112,347,31/10/2023,,0
163,439,19/01/2023,,2
66,12,02/02/2022,,0
371,111,07/06/2021,,1
89,3,21/04/2020,12/04/2023,0
308,411,09/03/2022,,2
6,175,14/01/2021,,1
56,23,09/09/2020,,0
16,192,26/05/2020,12/03/2023,
392,338,17/02/2023,,0
462,475,11/04/2021,,
240,462,03/04/2020,,2
141,39,25/10/2023,,2
96,144,08/08/2025,06/09/2025,1
58,349,24/10/2023,,1
141,14,29/07/2023,25/01/2025,2
246,426,25/10/2024,26/06/2025,2
159,149,18/04/2024,20/08/2025,2
307,139,12/01/2021,02/02/2023,1
267,131,04/02/2022,02/10/2022,1
38,209,18/04/2022,,0
488,398,27/12/2022,,1
432,437,01/09/2025,06/09/2025,1
344,178,18/08/2020,08/03/2025,
237,31,10/02/2022,20/04/2025,1
69,463,03/05/2022,04/07/2024,2
495,20,12/09/2023,,
384,47,24/07/2022,,0
391,406,15/07/2025,,0
392,7,24/08/2021,,0
355,264,13/05/2023,08/06/2023,1
398,189,27/02/2022,,2
408,130,04/06/2021,26/05/2025,1
272,35,19/07/2025,,2
187,479,16/03/2023,25/11/2023,0
412,188,06/05/2022,,
35,369,15/03/2022,,2
370,485,02/10/2022,,0
46,162,09/07/2025,19/09/2025,0
313,498,27/10/2024,08/12/2024,0
269,140,18/01/2025,,1
237,145,29/07/2020,16/09/2020,
451,99,17/11/2021,03/06/2023,
191,412,02/03/2022,,
368,325,17/09/2022,,0
314,257,15/02/2024,,0
236,210,23/06/2024,,
381,170,03/06/2025,,2
407,15,11/11/2021,,2
257,216,16/05/2022,,1
125,137,07/10/2022,16/11/2023,0
35,354,02/06/2021,,2
76,301,14/02/2022,,
420,29,02/01/2024,,1
418,53,06/12/2024,21/09/2025,
308,117,11/01/2022,,0
323,328,17/06/2023,,0
103,414,14/05/2022,,2
356,280,02/11/2022,,0
81,407,08/11/2022,17/08/2023,2
429,165,22/07/2025,14/08/2025,1
308,348,05/05/2023,20/06/2024,0
101,340,17/10/2023,,1
90,340,01/05/2021,06/10/2022,1
161,353,03/05/2020,,1
481,30,19/01/2024,,2
4,194,30/03/2023,,2
484,150,08/06/2023,05/12/2023,2
280,331,28/06/2022,14/09/2022,1
43,180,02/06/2021,,0
30,319,17/06/2020,,2
172,87,18/02/2024,16/01/2025,0
384,174,07/05/2022,,1
143,340,06/12/2022,29/09/2025,1
117,53,04/03/2021,,
417,206,28/02/2021,,2
364,404,08/03/2022,,2
129,315,22/05/2025,,0
499,283,06/12/2020,25/07/2022,
193,366,14/06/2023,,0
176,392,09/04/2021,,0
187,221,29/04/2025,18/06/2025,0
283,247,31/03/2020,,
446,109,03/02/2023,,1
272,301,30/12/2024,,2
60,241,16/06/2025,,2
422,100,11/01/2023,,1
257,342,25/11/2024,,2
74,233,13/01/2020,,0
282,425,07/01/2020,,0
393,292,19/06/2025,,0
473,188,15/02/2025,,2
354,159,22/07/2020,,2
310,174,30/04/2022,10/04/2023,2
248,491,31/08/2025,,2
82,366,10/12/2020,27/03/2024,2
281,234,01/05/2024,,
482,478,23/01/2024,01/02/2025,2
495,311,20/07/2020,14/01/2024,
129,370,22/12/2021,07/01/2022,
324,444,22/08/2021,24/12/2021,1
414,234,08/12/2020,,1
231,224,05/11/2020,,0
197,490,12/12/2022,,1
272,167,23/07/2025,03/10/2025,
273,109,15/04/2020,23/10/2022,
144,92,01/05/2023,,0
317,404,23/07/2021,,2
23,458,12/10/2020,,
390,396,08/01/2024,,2
98,326,30/11/2020,,0
244,329,21/10/2022,,
270,383,03/04/2020,,
384,39,08/11/2024,,0
281,92,26/02/2020,,1
56,22,25/03/2020,,1
370,282,30/07/2023,,2
409,271,31/03/2024,,
163,448,14/01/2025,,2
72,373,07/05/2020,,0
2,171,24/06/2025,,1
231,429,06/12/2024,,2
354,303,02/01/2025,03/01/2025,
130,266,21/10/2022,,0
185,465,07/09/2024,05/09/2025,
294,6,25/01/2021,,1
175,352,28/09/2025,,1
449,352,15/12/2022,,2
78,182,10/03/2022,,0
125,219,26/11/2020,,
287,189,07/06/2025,,0
156,359,01/09/2023,,1
416,185,16/03/2025,,1
69,374,17/02/2024,,
428,5,20/08/2024,,1
31,231,06/02/2022,,2
284,339,02/03/2025,11/07/2025,0
332,122,03/04/2021,,0
281,271,31/07/2020,,
282,222,03/07/2024,04/09/2024,0
428,302,17/09/2020,11/04/2021,2
106,351,07/12/2024,,
33,467,20/07/2022,,0
322,236,08/03/2022,06/06/2025,1
414,474,12/02/2020,06/09/2021,1
381,201,10/09/2023,28/09/2024,2
327,139,02/08/2021,,
456,229,20/04/2020,,1
326,334,17/02/2024,,1
394,224,22/10/2022,,2
108,369,17/06/2024,28/07/2024,0
190,486,19/05/2022,,0
14,153,26/02/2023,24/04/2023,1
367,243,28/05/2021,,1
307,489,01/02/2025,,
85,218,15/11/2024,,2
304,71,09/12/2022,01/01/2025,
34,177,29/10/2020,,2
118,90,10/07/2023,,1
28,297,01/02/2025,24/03/2025,2
115,122,03/10/2020,09/07/2024,1
53,336,08/06/2021,,1
150,58,29/03/2025,,1
377,179,22/03/2023,,2
267,132,10/02/2025,,
267,165,24/12/2023,30/01/2024,
435,156,02/01/2021,,
398,391,13/02/2022,,0
355,170,26/11/2021,21/01/2024,0
489,342,16/02/2024,14/03/2025,1
388,470,27/11/2022,,2
126,75,24/08/2023,04/02/2024,1
49,286,25/08/2025,,1
248,290,06/05/2025,,
390,158,21/05/2025,,
188,54,26/04/2024,23/04/2025,0
470,257,24/03/2024,,2
43,341,06/10/2025,14/10/2025,2
225,80,12/05/2022,,2
159,35,22/08/2023,,1
434,243,16/07/2024,,0
91,221,24/04/2021,,
314,127,27/06/2025,,1
489,36,23/08/2023,,1
268,377,16/04/2022,29/12/2023,0
452,431,08/12/2022,,
490,135,26/06/2022,,2
359,312,14/04/2021,02/04/2023,
150,222,16/01/2021,11/08/2023,
241,367,16/01/2022,,0
341,391,28/12/2023,03/10/2025,1
237,6,01/01/2022,,
398,256,17/12/2023,28/07/2024,0
51,427,13/06/2022,,1
493,312,07/07/2023,14/10/2025,0
395,288,01/05/2020,,
297,273,14/12/2020,,2
90,334,12/04/2022,,0
120,198,22/06/2024,,
350,306,29/12/2024,,2
307,136,07/08/2020,,2
104,148,18/05/2024,12/06/2024,2
221,109,28/04/2024,,1
190,89,24/04/2025,,2
213,384,19/11/2020,,
203,324,08/11/2024,27/08/2025,1
72,317,02/08/2020,18/09/2022,0
1,163,05/09/2024,,2
85,350,05/12/2020,27/11/2023,
259,97,03/11/2023,,
234,182,02/04/2020,28/01/2023,0
41,86,29/08/2025,,0
286,139,02/07/2020,,1
68,466,11/04/2021,10/12/2021,0
174,283,31/12/2020,,1
96,157,23/04/2025,12/05/2025,
317,162,10/07/2025,05/10/2025,1
230,5,25/04/2024,,1
197,202,10/10/2020,16/05/2023,1
256,496,09/04/2022,,0
355,155,12/05/2023,,1
178,295,25/02/2021,,0
264,386,10/07/2023,14/12/2023,2
430,5,18/06/2023,,2
416,245,26/08/2021,18/08/2024,1
117,278,16/07/2020,16/06/2022,
165,320,21/04/2022,,0
149,87,05/03/2025,,
10,30,02/01/2021,,0
100,375,20/06/2023,23/06/2023,0
40,222,26/12/2023,,1
213,263,13/06/2020,11/06/2024,2
201,302,17/01/2023,,2
183,114,24/09/2020,,1
265,235,16/11/2022,,0
33,443,25/06/2020,,2
489,34,02/11/2020,22/04/2022,0
366,114,02/02/2024,21/02/2024,
473,449,09/12/2022,,0
135,299,31/10/2021,,
143,480,10/02/2023,,0
449,143,02/06/2025,,2
77,363,17/12/2021,,2
212,491,04/04/2020,,
366,463,24/08/2021,,
250,287,20/06/2020,,0
297,101,25/07/2025,,
279,12,23/03/2022,19/05/2022,2
226,479,14/07/2024,,0
313,449,15/10/2024,26/02/2025,
296,27,08/09/2023,,0
349,10,08/08/2025,,2
9,334,22/04/2024,03/06/2024,
54,263,08/06/2023,,0
49,481,19/07/2025,,0
147,269,29/06/2023,,0
320,191,02/05/2024,,1
340,129,26/09/2023,,
496,337,15/10/2025,,
173,243,08/11/2021,,0
93,211,24/09/2022,27/09/2023,1
305,128,13/06/2023,,1
105,228,12/01/2023,20/05/2023,2
24,208,01/06/2024,,2
37,279,20/02/2020,10/03/2024,2
41,179,31/12/2021,,0
492,480,21/06/2025,,
267,334,28/02/2025,07/05/2025,2
333,168,29/06/2024,13/10/2024,0
145,228,31/01/2023,09/08/2023,0
67,144,16/03/2020,,0
188,284,19/02/2020,,
318,91,11/04/2025,,2
202,94,17/10/2022,02/09/2023,1
297,396,31/08/2021,,
349,67,04/02/2025,24/02/2025,0
111,203,12/05/2025,,2
157,364,24/12/2021,,2
461,79,09/06/2022,23/08/2023,2
228,419,06/03/2024,23/08/2025,
172,422,18/02/2023,,2
458,14,05/05/2023,,0
338,386,21/05/2023,,1
226,434,27/04/2021,20/10/2021,1
488,192,09/03/2023,13/03/2023,2
176,8,12/12/2021,,0
284,194,15/08/2024,,0
356,227,14/04/2024,,0
340,385,25/08/2023,13/08/2024,0
331,261,21/01/2021,18/03/2024,0
179,392,06/03/2025,,
374,492,11/02/2024,,0
251,327,08/09/2024,,1
437,418,05/02/2021,20/02/2023,1
217,28,12/08/2020,,
458,350,16/04/2024,,1
289,33,01/10/2020,,0
78,251,05/08/2021,13/02/2023,2
191,193,30/12/2024,,0
238,472,19/03/2022,20/05/2025,
181,111,16/05/2024,,1
372,204,08/12/2024,,1
395,177,19/11/2022,,1
385,495,06/06/2024,,0
157,219,20/08/2025,,
498,371,02/02/2022,13/06/2024,0
29,290,07/02/2021,,2
73,371,21/08/2021,11/01/2024,1
326,50,07/03/2023,26/07/2025,0
38,347,05/08/2023,,0
371,403,14/01/2024,,2
99,350,30/04/2021,21/09/2021,1
141,409,17/01/2024,,0
308,407,03/04/2022,,1
162,366,03/04/2020,,2
46,11,20/08/2020,,1
179,123,01/10/2024,,1
274,271,09/04/2024,,0
349,347,14/07/2021,19/11/2021,0
276,174,03/06/2022,,1
375,20,04/06/2022,26/06/2023,2
221,112,19/02/2020,,0
150,184,08/02/2025,,0
313,174,26/06/2024,,2
290,25,19/10/2020,,0
126,193,05/06/2021,28/04/2025,2
452,127,20/05/2023,,2
491,393,01/01/2023,,
62,331,18/08/2020,,
47,126,28/03/2024,,
479,47,24/12/2021,13/10/2025,1
326,294,13/07/2021,,0
275,337,02/03/2020,,0
241,212,30/05/2023,,
274,116,04/07/2021,,0
238,191,01/11/2023,,1
140,312,02/01/2020,,2
9,187,19/09/2020,,1
256,237,28/01/2022,,2
352,311,11/02/2024,,2
192,254,12/01/2023,,1
96,474,15/08/2022,,
150,26,28/08/2024,,
128,120,03/02/2020,,0
366,90,27/08/2020,11/03/2023,2
304,316,27/02/2021,05/11/2021,0
127,316,19/10/2022,,0
391,331,26/09/2024,22/09/2025,2
252,321,05/07/2021,,
181,424,17/03/2023,,
170,391,20/01/2022,,2
170,331,01/10/2023,,0
296,111,05/12/2020,,0
170,356,26/09/2021,,2
151,381,09/09/2024,20/05/2025,1
474,111,23/12/2024,,2
473,13,29/03/2024,,
194,467,16/09/2024,26/04/2025,2
96,496,03/07/2021,,2
162,280,29/10/2024,,0
208,477,18/04/2024,,
279,359,10/11/2021,28/02/2024,
176,111,16/05/2024,,0
24,300,07/01/2023,04/09/2024,1
168,43,26/08/2022,13/01/2025,2
297,339,12/01/2020,,
160,443,07/09/2021,,
396,85,31/07/2025,27/09/2025,2
490,300,21/12/2024,,2
193,107,11/05/2024,24/08/2024,1
404,261,27/05/2023,,0
282,469,11/12/2022,,1
230,126,05/12/2022,,
493,277,09/03/2025,,1
144,210,30/06/2025,,0
56,257,07/10/2022,,0
415,9,02/04/2020,,1
362,52,20/04/2025,,0
440,484,25/04/2022,,1
441,81,19/12/2023,09/11/2024,2
79,33,26/03/2020,,0
260,256,14/03/2022,25/05/2025,0
332,211,22/08/2024,,1
449,107,21/05/2022,,0
90,302,16/09/2020,07/10/2021,0
281,299,06/06/2021,,0
420,98,07/10/2024,,0
29,186,18/01/2022,,2
58,465,10/12/2020,13/09/2023,2
143,288,02/06/2022,,1
60,267,27/01/2021,,2
477,162,10/03/2025,,0
244,486,23/06/2021,,0
375,86,30/11/2020,,1
139,273,28/11/2023,,2
326,408,23/04/2023,09/04/2025,2
194,291,24/07/2022,,0
53,480,14/01/2021,,
41,28,07/09/2022,,
494,386,21/05/2020,,1
292,195,22/11/2024,09/02/2025,
20,193,07/01/2021,,1
44,40,12/09/2022,08/06/2025,1
283,285,18/12/2024,,1
100,170,07/02/2024,,1
475,499,19/02/2023,,0
78,315,16/08/2024,,2
77,308,05/10/2024,02/04/2025,0
373,168,20/09/2022,,1
390,324,20/06/2024,,2
93,26,04/03/2024,,0
217,267,24/05/2023,26/06/2024,0
66,312,14/08/2023,13/03/2024,
232,418,31/07/2022,,0
218,419,01/05/2025,29/05/2025,
313,121,23/02/2021,09/05/2022,1
210,353,23/05/2025,,0
57,8,04/06/2023,27/06/2024,1
50,402,18/01/2023,,2
291,191,23/11/2023,11/12/2024,
110,216,19/03/2021,,
247,9,02/06/2023,,1
426,399,03/08/2023,,1
415,51,24/11/2022,,
473,67,11/05/2021,22/03/2025,0
271,246,05/10/2023,,0
232,82,26/09/2023,,
194,387,07/04/2021,22/02/2025,
107,71,23/10/2023,,0
256,197,13/04/2020,,0
249,337,01/12/2022,15/09/2024,0
64,16,08/05/2023,,
403,128,04/08/2023,,0
211,87,27/06/2020,02/06/2021,2
133,429,15/09/2020,24/11/2023,
270,356,11/05/2022,,2
452,210,25/02/2023,,1
478,139,29/01/2022,,0
349,478,14/11/2024,,
67,332,02/04/2024,,1
252,140,29/10/2023,,0
326,318,18/08/2022,,0
54,225,21/09/2025,,0
434,491,15/02/2022,04/05/2023,1
144,18,02/02/2024,21/06/2024,2
267,408,06/11/2024,,2
193,133,09/07/2025,,2
474,23,22/05/2022,06/12/2023,2
398,352,16/08/2025,02/10/2025,1
282,215,12/05/2023,,
56,489,11/12/2023,28/02/2024,2
250,487,13/11/2021,09/01/2025,1
275,493,05/10/2021,,0
119,322,31/10/2022,,2
380,454,18/03/2024,25/03/2024,1
384,477,09/01/2020,,2
269,399,26/05/2025,,0
292,463,26/06/2022,,0
182,492,11/09/2023,,2
330,460,16/09/2021,03/09/2022,0
150,203,14/10/2021,,2
492,348,07/02/2020,,1
180,9,29/12/2021,,
105,295,29/04/2023,,0
157,415,24/11/2024,,0
489,267,11/08/2021,06/03/2023,1
66,143,27/12/2022,,1
187,367,13/11/2021,,1
493,463,18/04/2020,21/07/2024,
156,351,27/04/2020,,0
81,461,13/06/2021,,2
138,292,14/08/2021,,2
474,136,17/04/2025,,0
482,447,16/03/2020,,1
234,257,06/05/2021,25/12/2023,
175,324,18/08/2023,07/10/2024,1
55,325,06/01/2020,03/05/2025,1
66,433,15/02/2021,,0
209,368,21/02/2023,,
498,253,14/01/2022,,1
245,284,18/08/2022,,1
344,325,18/01/2021,,2
353,347,14/10/2023,20/08/2025,0
412,432,14/05/2020,15/10/2023,0
191,80,02/10/2021,,0
9,408,12/01/2022,,1
204,460,14/09/2021,,2
226,450,23/05/2020,11/11/2020,2
402,157,23/10/2021,26/05/2022,0
81,38,21/01/2023,,2
478,198,11/02/2023,,0
156,208,13/05/2023,23/06/2023,1
126,121,18/02/2021,,0
393,23,17/04/2022,,
53,74,06/01/2023,,2
170,247,30/08/2023,15/08/2025,0
337,112,22/06/2023,,2
406,326,23/10/2021,,1
234,460,12/09/2023,,1
401,327,30/01/2023,16/01/2025,1
71,3,04/10/2025,,1
127,22,03/03/2022,03/10/2022,
426,453,11/12/2022,,2
117,296,15/02/2020,,2
304,377,27/01/2021,,2
313,116,24/07/2021,18/04/2025,1
418,382,17/04/2020,,2
110,416,20/05/2021,11/08/2021,2
96,320,29/08/2021,,1
249,29,24/10/2020,,0
439,221,05/06/2021,09/08/2022,2
188,325,01/10/2021,15/07/2024,2
395,103,04/05/2020,,2
85,355,22/10/2021,,1
394,116,04/08/2024,06/05/2025,2
142,16,23/10/2024,,0
178,220,08/09/2024,,0
324,243,27/05/2020,,1
381,89,18/03/2025,09/09/2025,0
244,193,09/06/2024,28/08/2024,2
500,246,17/02/2024,,0
92,21,10/04/2020,,
454,66,28/11/2024,07/10/2025,2
318,271,26/10/2024,,0
242,163,01/06/2023,01/03/2024,0
162,139,13/10/2024,,0
206,54,01/05/2021,,1
49,463,23/01/2020,,0
492,199,08/05/2022,21/09/2024,0
235,377,18/11/2024,12/10/2025,1
379,26,09/01/2024,13/03/2024,2
63,205,07/09/2025,,
287,394,20/05/2023,12/08/2024,0
344,245,05/06/2023,18/06/2025,0
106,211,08/08/2023,,1
136,442,30/10/2023,13/08/2025,0
156,326,26/11/2024,,2
281,419,01/10/2024,,
151,53,19/12/2020,,0
337,370,21/06/2021,,
379,111,05/04/2024,,1
264,260,02/03/2022,,0
484,95,28/08/2021,05/04/2023,0
85,99,03/12/2023,,0
228,121,21/05/2022,,1
115,247,06/06/2022,17/06/2024,0
497,192,10/01/2023,,0
17,257,09/04/2020,,
187,303,14/05/2021,,2
293,117,24/05/2024,,2
398,308,12/04/2023,,1
16,474,09/02/2022,04/09/2023,1
241,477,06/02/2024,,0
293,441,10/06/2025,,1
114,183,10/03/2025,,2
361,378,11/02/2024,,0
474,308,08/11/2020,,1
198,53,10/12/2021,30/05/2024,2
281,111,20/07/2023,09/08/2023,2
46,237,29/03/2024,,0
305,117,19/06/2023,30/07/2023,2
259,80,17/10/2023,14/03/2025,2
227,222,01/09/2024,20/01/2025,0
432,397,05/05/2020,03/02/2024,2
305,439,05/09/2020,,0
320,134,15/11/2022,,1
179,346,23/02/2022,,2
53,463,28/08/2022,,0
283,81,24/09/2023,,1
100,403,16/01/2021,19/06/2023,2
259,111,05/08/2021,,2
444,265,05/04/2023,,2
494,272,15/02/2020,07/11/2021,2
350,258,29/04/2022,,1
488,86,02/04/2025,,2
74,341,04/01/2024,,0
494,29,20/02/2020,22/08/2020,0
157,6,10/08/2025,,
8,283,11/06/2020,,2
74,155,08/12/2020,21/07/2023,1
211,238,09/08/2025,,
90,54,29/04/2024,12/03/2025,
173,357,28/12/2020,,1
140,318,04/11/2022,,0
458,197,23/06/2023,04/06/2025,2
395,265,13/10/2024,11/03/2025,2
214,477,03/06/2023,,0
395,275,07/02/2020,,
294,68,23/03/2021,,0
241,342,03/06/2021,,1
51,290,10/06/2021,12/10/2021,
241,71,10/04/2025,,1
121,473,07/05/2020,10/02/2024,0
499,365,24/01/2022,,2
286,434,09/08/2022,11/06/2024,0
216,237,26/11/2020,25/05/2024,2
460,486,22/02/2024,09/02/2025,2
227,487,07/09/2022,,1
385,27,25/04/2021,,
143,351,10/04/2022,,0
327,331,25/02/2021,,0
405,172,13/06/2022,23/03/2023,2
307,168,04/09/2020,04/12/2020,2
329,6,30/05/2021,26/05/2023,1
333,189,15/03/2024,,0
418,481,03/02/2024,,1
442,25,07/06/2021,01/04/2022,0
382,304,29/06/2025,,2
288,126,25/02/2022,,2
172,37,10/03/2023,,1
117,410,01/06/2020,14/09/2020,2
358,6,08/03/2024,,0
230,478,03/10/2023,,0
192,210,13/02/2022,,
104,342,24/02/2023,,0
188,384,11/01/2021,,
71,35,25/07/2021,,
480,423,19/12/2024,20/06/2025,
466,111,24/04/2022,,
272,265,12/06/2024,,
211,213,21/06/2021,18/07/2023,1
281,232,15/07/2023,,0
93,334,08/05/2023,,
202,180,09/04/2024,,1
436,68,17/08/2021,,
161,384,23/10/2024,11/07/2025,
430,265,16/07/2024,,2
106,408,23/04/2020,16/12/2021,1
210,202,26/10/2023,14/03/2024,
303,79,22/09/2022,,0
34,387,18/08/2025,18/09/2025,1
180,193,07/07/2024,,0
193,439,09/10/2023,,2
460,138,28/02/2024,,0
377,113,09/07/2024,19/11/2024,1
194,38,18/06/2025,,1
497,100,04/01/2025,,1
444,458,27/08/2024,,2
449,311,05/05/2025,,1
333,83,25/07/2025,,1
291,162,09/04/2020,,2
377,169,01/11/2024,,
348,463,28/04/2023,,
287,374,21/08/2022,,0
217,143,15/05/2021,,1
300,89,15/03/2021,25/09/2024,2
222,391,04/04/2024,23/09/2025,1
286,3,21/06/2023,,
34,477,13/04/2024,,0
293,35,29/07/2022,,
18,63,09/10/2024,,
117,113,26/06/2024,,2
